School,Gender,Age,Address,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Job,Father_Job,Reason_for_Choosing_School,Guardian,Travel_Time,Study_Time,Number_of_Failures,School_Support,Family_Support,Extra_Paid_Class,Extra_Curricular_Activities,Attended_Nursery,Wants_Higher_Education,Internet_Access,In_Relationship,Family_Relationship,Free_Time,Going_Out,Weekend_Alcohol_Consumption,Weekday_Alcohol_Consumption,Health_Status,Number_of_Absences,Grade_1,Grade_2,Final_Grade,Dropped_Out
School D,Female,17,Rural,8,Together,None,None,Business,Healthcare,Course,Mother,6,3,0,Yes,Yes,Yes,Yes,No,No,No,Yes,Excellent,3,3,High,Medium,Neutral,3,9,17,18,No
School A,Female,15,Urban,2,Apart,Secondary,Primary,Service,Technology,Course,Father,18,2,0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Neutral,5,1,Medium,High,Excellent,6,14,16,15,No
School B,Other,14,Suburban,8,Together,Higher,Secondary,Technology,Service,Course,Other,6,5,1,Yes,No,Yes,Yes,No,Yes,Yes,No,Very Bad,2,2,None,Very High,Excellent,1,18,8,8,No
School B,Female,15,Rural,1,Together,Primary,Higher,Service,Education,Course,Other,20,1,0,No,No,Yes,No,Yes,No,Yes,Yes,Good,4,5,None,Low,Good,1,13,18,15,Yes
School C,Female,13,Rural,3,Together,Secondary,None,Unemployed,Healthcare,Reputation,Other,9,3,0,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Bad,1,2,High,Low,Bad,2,13,11,17,No
School B,Male,14,Suburban,5,Together,Higher,Higher,Service,Technology,Reputation,Father,44,5,2,Yes,Yes,No,No,No,No,No,No,Good,1,3,Very High,None,Good,4,11,14,12,No
School B,Male,17,Urban,8,Together,Higher,Secondary,Business,Service,Other,Other,12,3,0,No,Yes,No,Yes,Yes,Yes,No,No,Very Bad,1,4,None,None,Very Bad,1,13,10,14,No
School A,Female,15,Rural,4,Apart,Secondary,Primary,Healthcare,Education,Other,Father,32,1,0,Yes,No,No,Yes,Yes,No,Yes,Yes,Good,4,2,Very High,Very High,Bad,0,12,5,14,No
School D,Male,14,Rural,8,Together,Primary,Primary,Education,Technology,Reputation,Father,,0,1,Yes,No,Yes,No,Yes,Yes,Yes,No,Very Bad,2,4,Very High,High,Very Bad,0,15,14,16,No
School D,Male,,Urban,1,Together,Higher,Secondary,Service,Unemployed,Reputation,Mother,17,2,0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Very Bad,5,1,None,Medium,Excellent,2,15,12,12,No
School B,Male,16,Rural,8,Together,Primary,Secondary,Technology,Service,Reputation,Father,7,3,0,No,Yes,Yes,Yes,No,No,Yes,Yes,Bad,3,1,Medium,Very High,Neutral,0,11,9,15,No
School B,Other,16,Suburban,7,Apart,None,Primary,Healthcare,Unemployed,Other,Mother,7,3,0,No,Yes,Yes,No,Yes,No,No,No,Very Bad,2,2,High,High,Good,2,14,13,15,No
School A,Female,15,Rural,7,Together,Primary,Primary,Healthcare,Business,Other,Father,37,3,0,Yes,Yes,No,No,Yes,No,No,Yes,Very Bad,3,1,None,Very High,Excellent,10,17,14,6,No
School B,Male,15,Suburban,6,Apart,Higher,Higher,Service,Technology,Reputation,Father,50,1,2,No,Yes,Yes,Yes,No,No,No,No,Bad,5,3,None,Medium,Excellent,2,18,17,15,Yes
School D,Female,16,Suburban,6,Apart,Secondary,Higher,Unemployed,Business,Other,Father,1,8,2,No,Yes,Yes,Yes,Yes,No,Yes,No,Neutral,3,4,Very High,None,Excellent,8,11,13,,No
School A,Female,16,Suburban,8,Apart,Secondary,Secondary,Unemployed,Unemployed,Reputation,Other,10,1,0,Yes,No,Yes,Yes,Yes,No,Yes,No,Bad,3,4,Low,Medium,Good,3,15,10,10,No
School B,Female,,Rural,6,Apart,Secondary,Primary,Service,Unemployed,Other,Other,9,2,0,No,Yes,No,Yes,Yes,No,Yes,No,Bad,3,1,High,Medium,Good,3,14,,15,No
School D,Female,,Urban,2,Apart,Secondary,None,Healthcare,Unemployed,Course,Other,9,0,0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Good,,2,Low,Low,Good,1,16,14,15,No
School B,Female,16,Urban,5,Together,Primary,None,Unemployed,Education,Home,Mother,21,9,1,No,No,No,No,No,No,Yes,Yes,Very Bad,1,1,None,Low,Neutral,1,14,16,10,No
School B,Female,15,Suburban,,Apart,None,None,Service,Unemployed,Course,Other,4,4,0,No,Yes,Yes,No,No,Yes,Yes,Yes,Bad,1,1,None,Very High,Bad,0,15,16,14,No
School D,Female,17,Rural,1,Apart,Primary,Primary,Healthcare,Education,Other,Other,47,4,0,No,No,No,No,Yes,Yes,No,Yes,Bad,1,2,Low,Very High,Bad,1,10,17,15,No
School A,Male,19,Urban,5,Together,Primary,Primary,Education,Healthcare,Reputation,Mother,34,2,0,No,No,No,No,No,Yes,No,Yes,Very Bad,,2,None,Very High,Good,1,12,12,7,No
School C,Male,16,Urban,1,Apart,Secondary,Secondary,Education,Technology,Course,Other,9,0,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Good,5,3,Very High,Low,Bad,0,18,13,14,Yes
School A,Other,16,Urban,3,Together,Primary,None,Technology,Education,Other,Other,20,7,0,No,No,No,No,Yes,Yes,No,Yes,Excellent,2,3,Medium,Low,Good,4,17,11,13,Yes
School C,Female,15,Urban,2,Together,Higher,Secondary,Education,Technology,Home,Father,0,2,1,Yes,No,No,Yes,Yes,No,Yes,Yes,Bad,4,1,None,High,Good,1,12,13,,No
School C,Male,17,Rural,7,Together,Higher,None,Healthcare,Education,Course,Mother,13,1,0,Yes,Yes,No,No,Yes,No,Yes,No,Neutral,3,,Medium,High,Excellent,1,13,16,,No
School B,Male,13,Rural,2,Apart,Higher,None,Technology,Education,Course,Other,40,2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Good,1,5,High,Low,Good,1,19,11,,No
School B,Other,18,Urban,1,Together,Secondary,Primary,Unemployed,Unemployed,Course,Father,21,4,0,No,No,No,No,Yes,Yes,Yes,No,Bad,5,4,High,Very High,Neutral,4,17,14,13,Yes
School A,Female,17,Urban,5,Together,Higher,Secondary,Business,Unemployed,Other,Father,33,1,0,Yes,No,No,No,No,Yes,Yes,Yes,Good,1,4,None,High,Neutral,2,14,,15,No
School A,Male,14,Rural,4,Apart,Secondary,None,Education,Business,Reputation,Father,7,3,0,No,Yes,No,No,No,No,Yes,Yes,Very Bad,,5,Very High,None,Very Bad,2,10,14,12,No
School A,Female,14,Suburban,5,Together,Secondary,None,Technology,Education,Other,Father,5,7,1,No,Yes,Yes,Yes,No,Yes,No,Yes,Neutral,5,2,Very High,None,Neutral,2,16,14,16,No
School B,Other,17,Urban,4,Together,Primary,None,Education,Healthcare,Reputation,Mother,34,3,1,Yes,No,Yes,No,Yes,Yes,No,Yes,Excellent,2,,None,Very High,Very Bad,1,13,14,19,No
School B,Male,17,Suburban,7,Apart,None,Primary,Education,Healthcare,Course,Other,59,14,1,Yes,Yes,No,No,No,Yes,Yes,No,Bad,1,2,None,High,Bad,1,9,15,14,No
School D,Other,15,Rural,5,Apart,None,Higher,Unemployed,Education,Course,Mother,24,4,0,Yes,Yes,Yes,Yes,Yes,No,No,No,Bad,5,2,None,Low,Very Bad,12,14,13,16,No
School A,Other,20,Rural,5,Together,Higher,Secondary,Service,Healthcare,Other,Other,29,3,1,Yes,No,No,No,Yes,No,No,No,Good,1,3,Very High,Very High,Excellent,4,17,7,15,No
School D,Other,13,Suburban,6,Apart,Higher,None,Technology,Education,Other,Father,10,0,0,Yes,Yes,Yes,No,Yes,No,Yes,No,Excellent,2,1,Very High,Medium,Good,7,16,15,15,No
School A,Male,14,Rural,8,Apart,Higher,None,Unemployed,Business,Home,Mother,10,4,0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Very Bad,2,5,Medium,High,Neutral,3,17,15,10,No
School D,Male,13,Rural,8,Together,None,None,Healthcare,Service,Reputation,Father,5,3,0,Yes,No,Yes,No,Yes,Yes,No,No,Good,1,4,Medium,Medium,Excellent,1,15,15,15,No
School C,Female,17,Suburban,6,Together,Higher,None,Service,Healthcare,Reputation,Mother,58,3,0,No,No,Yes,No,Yes,No,Yes,No,Good,1,5,Low,None,Good,1,15,18,18,No
School D,Other,15,Rural,1,Apart,None,None,Service,Unemployed,Reputation,Other,15,2,0,Yes,No,No,Yes,No,Yes,No,No,Good,2,1,Low,Very High,Neutral,0,17,16,15,No
School A,Male,,Urban,4,Together,Secondary,None,Unemployed,Technology,Home,Other,68,5,0,Yes,No,No,No,Yes,No,Yes,No,Excellent,,3,Medium,Medium,Good,0,16,14,15,No
School C,Other,13,Suburban,6,Apart,Primary,Secondary,Business,Unemployed,Reputation,Other,26,2,0,No,No,Yes,Yes,Yes,No,Yes,Yes,Very Bad,1,3,Very High,None,Neutral,4,15,15,16,No
School A,Other,16,Urban,4,Apart,Higher,Higher,Education,Business,Course,Other,3,3,0,No,Yes,Yes,Yes,No,No,Yes,Yes,Bad,4,5,Low,High,Bad,14,17,17,7,No
School D,Other,14,Urban,3,Together,Higher,Higher,Healthcare,Technology,Reputation,Father,25,5,0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Bad,3,2,High,Very High,Good,2,13,18,10,No
School C,Female,14,Urban,5,Together,Primary,Higher,Healthcare,Business,Other,Father,40,2,2,No,Yes,No,No,No,No,No,No,Good,3,1,Low,Very High,Bad,0,16,15,11,No
School A,Female,12,Rural,3,Together,Higher,Primary,Healthcare,Education,Course,Mother,23,3,0,Yes,Yes,No,No,No,Yes,Yes,No,Neutral,2,5,Low,High,Good,5,10,16,15,No
School A,Female,17,Rural,,Together,Higher,None,Technology,Service,Reputation,Father,,6,0,Yes,No,Yes,No,No,No,Yes,Yes,Excellent,3,2,Medium,Low,Good,0,,15,15,No
School D,Male,17,Suburban,8,Together,Secondary,None,Business,Technology,Reputation,Father,33,6,0,No,No,No,Yes,Yes,Yes,No,Yes,Good,,,Very High,Very High,Neutral,0,18,14,18,No
School D,Female,16,Suburban,8,Apart,Primary,Secondary,Service,Technology,Course,Mother,10,1,0,Yes,Yes,No,No,Yes,No,No,No,Good,1,,Very High,None,Good,2,9,13,12,Yes
School C,Female,13,Rural,6,Together,None,None,Unemployed,Healthcare,Other,Father,5,10,0,Yes,No,Yes,No,No,No,No,No,Bad,3,3,Low,Low,Excellent,2,16,14,18,No
School A,Other,15,Suburban,6,Apart,Higher,Primary,Technology,Unemployed,Home,Father,7,4,0,No,No,No,Yes,No,No,Yes,No,Very Bad,4,2,High,Very High,Bad,1,18,10,16,No
School B,Other,17,Urban,4,Apart,Secondary,Higher,Unemployed,Healthcare,Other,Other,10,2,0,No,Yes,No,No,No,Yes,No,No,Excellent,2,5,Very High,Low,Good,3,19,17,12,No
School B,Male,15,Suburban,3,Apart,None,Higher,Business,Business,Reputation,Mother,1,2,0,Yes,Yes,Yes,No,Yes,No,Yes,No,Bad,3,2,None,Low,Excellent,3,,15,12,No
School C,Male,18,Rural,5,Together,Higher,None,Education,Education,Reputation,Other,59,8,0,No,No,Yes,No,Yes,No,Yes,Yes,Neutral,4,4,None,None,Neutral,3,16,15,18,No
School B,Other,17,Urban,7,Apart,Primary,Secondary,Technology,Technology,Course,Other,6,4,0,Yes,No,No,Yes,Yes,Yes,No,No,Very Bad,2,2,Medium,Low,Neutral,1,14,,11,No
School D,Male,16,Urban,8,Apart,Secondary,Higher,Service,Education,Reputation,Other,2,1,0,Yes,No,No,No,Yes,No,No,No,Very Bad,5,5,None,High,Neutral,0,15,11,12,No
School D,Other,16,Urban,2,Together,Higher,Primary,Unemployed,Technology,Home,Mother,16,1,0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Good,3,4,Low,None,Neutral,8,15,,18,No
School D,Female,15,Urban,5,Apart,Secondary,Primary,Unemployed,Education,Other,Mother,22,3,1,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Good,3,1,Low,None,Bad,1,14,13,18,No
School D,Female,19,Suburban,5,Together,Secondary,None,Technology,Business,Reputation,Mother,53,4,0,No,Yes,No,No,No,Yes,Yes,No,Excellent,,4,High,Low,Neutral,4,9,14,17,No
School B,Male,16,Suburban,3,Apart,Primary,None,Business,Business,Home,Other,36,4,0,No,No,No,Yes,No,Yes,No,Yes,Excellent,4,5,None,High,Good,1,13,9,9,No
School C,Male,17,Urban,1,Apart,Secondary,None,Technology,Healthcare,Reputation,Other,11,6,0,No,Yes,No,No,Yes,No,Yes,No,Good,2,3,Low,Medium,Very Bad,5,13,11,17,No
School C,Other,18,Suburban,,Apart,Higher,Primary,Service,Healthcare,Course,Mother,9,6,0,Yes,No,Yes,Yes,Yes,No,No,No,Excellent,5,5,High,Medium,Very Bad,1,10,16,13,No
School A,Female,16,Urban,7,Apart,Primary,Higher,Business,Technology,Reputation,Other,5,0,1,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Very Bad,2,5,Low,Very High,Excellent,4,17,13,17,No
School D,Other,,Rural,3,Together,Primary,Higher,Unemployed,Technology,Home,Mother,9,1,0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Good,2,2,Low,High,Neutral,2,17,17,7,No
School D,Other,15,Urban,4,Together,None,Secondary,Business,Service,Home,Father,0,5,1,Yes,No,Yes,Yes,Yes,No,No,No,Bad,4,1,Low,Medium,Excellent,9,16,8,19,No
School A,Other,16,Urban,1,Together,None,Higher,Business,Service,Course,Mother,7,2,0,No,No,Yes,Yes,No,No,Yes,No,Excellent,1,4,High,High,Excellent,1,16,15,17,No
School D,Female,17,Suburban,4,Together,Primary,None,Service,Service,Other,Father,1,5,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Excellent,2,2,High,None,Bad,3,15,12,15,No
School A,Male,21,Suburban,3,Apart,Secondary,Secondary,Education,Unemployed,Course,Other,2,3,0,Yes,Yes,Yes,Yes,No,Yes,No,No,Very Bad,2,1,None,Medium,Excellent,0,,16,10,No
School D,Female,18,Urban,3,Together,Higher,None,Education,Unemployed,Reputation,Father,18,5,0,No,No,Yes,Yes,Yes,No,Yes,No,Bad,2,4,Low,Very High,Excellent,5,17,14,16,No
School D,Female,15,Suburban,1,Together,Primary,None,Healthcare,Education,Reputation,Mother,38,2,0,No,Yes,No,Yes,Yes,Yes,Yes,No,Good,2,5,Very High,Very High,Very Bad,0,19,13,19,No
School A,Other,17,Urban,4,Apart,None,Secondary,Healthcare,Unemployed,Home,Other,8,5,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Excellent,1,5,High,Medium,Excellent,3,18,15,11,No
School D,Female,16,Suburban,1,Together,Secondary,Higher,Service,Healthcare,Course,Other,24,2,0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Good,5,4,High,Medium,Very Bad,5,9,18,12,No
School C,Male,16,Rural,3,Apart,None,Primary,Unemployed,Healthcare,Course,Father,,4,0,No,Yes,No,No,No,No,Yes,Yes,Bad,3,2,High,None,Excellent,1,15,8,18,No
School D,Male,16,Urban,3,Together,Higher,Secondary,Service,Education,Other,Mother,89,1,0,No,Yes,No,No,No,Yes,No,Yes,Excellent,4,1,High,None,Excellent,2,15,15,12,No
School C,Male,16,Suburban,5,Apart,Higher,None,Technology,Healthcare,Home,Father,1,10,0,Yes,No,No,No,Yes,No,No,Yes,Very Bad,5,,Medium,Medium,Good,4,18,16,7,No
School A,Other,17,Urban,5,Apart,Secondary,Secondary,Healthcare,Service,Home,Mother,11,1,0,No,No,No,No,No,Yes,Yes,Yes,Good,3,2,Low,Low,Excellent,6,10,11,11,No
School A,Male,14,Urban,1,Apart,None,Secondary,Service,Technology,Other,Father,17,1,1,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Very Bad,3,1,High,None,Neutral,0,16,12,12,No
School B,Other,13,Rural,6,Together,Primary,Primary,Technology,Unemployed,Course,Other,9,1,0,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Good,1,,Medium,Very High,Excellent,1,19,18,12,No
School D,Female,16,Rural,1,Together,Higher,Higher,Technology,Business,Home,Other,64,5,0,No,Yes,No,Yes,Yes,No,No,No,Good,3,2,None,Very High,Very Bad,0,17,7,8,No
School B,Female,14,Rural,4,Together,Secondary,Higher,Unemployed,Business,Reputation,Other,15,2,0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Good,3,1,Very High,High,Good,2,17,16,10,No
School D,Male,14,Rural,4,Apart,None,Higher,Unemployed,Healthcare,Reputation,Mother,32,2,0,No,No,No,No,No,No,No,No,Excellent,2,5,Low,None,Very Bad,0,12,13,16,No
School A,Male,16,Suburban,3,Apart,None,None,Business,Healthcare,Reputation,Other,15,10,0,Yes,No,No,Yes,Yes,Yes,No,Yes,Excellent,3,1,High,Very High,Very Bad,0,17,14,19,Yes
School B,Other,13,Rural,1,Together,None,Primary,Unemployed,Service,Course,Mother,3,1,1,No,No,Yes,No,Yes,No,No,Yes,Bad,3,4,Very High,Very High,Very Bad,8,16,14,18,No
School A,Male,15,Urban,1,Apart,Higher,Secondary,Education,Healthcare,Course,Father,50,5,0,No,No,No,No,Yes,No,No,No,Neutral,5,3,High,High,Neutral,1,17,13,18,No
School A,Female,16,Suburban,4,Apart,Higher,Primary,Education,Service,Home,Other,0,12,0,No,No,Yes,Yes,No,No,No,No,Very Bad,1,3,Low,None,Neutral,0,15,15,15,No
School C,Male,15,Urban,6,Apart,Higher,Secondary,Education,Unemployed,Course,Father,1,1,0,Yes,No,No,No,Yes,Yes,No,Yes,Bad,5,5,Very High,Very High,Neutral,1,16,10,4,No
School D,Other,17,Suburban,2,Apart,Secondary,Higher,Business,Service,Home,Other,4,3,0,Yes,No,Yes,No,No,Yes,Yes,Yes,Excellent,5,2,High,None,Neutral,1,11,11,17,No
School A,Male,14,Urban,4,Together,Primary,Primary,Unemployed,Technology,Reputation,Father,21,3,0,No,No,No,No,No,Yes,No,No,Bad,3,3,None,High,Very Bad,3,13,9,16,Yes
School B,Female,16,Urban,6,Apart,Secondary,Secondary,Healthcare,Education,Other,Other,22,0,0,No,Yes,Yes,No,Yes,Yes,No,No,Neutral,4,2,Low,Very High,Neutral,0,12,16,13,No
School B,Male,,Urban,8,Apart,Higher,Higher,Unemployed,Technology,Other,Mother,25,1,0,No,Yes,No,No,No,No,No,Yes,Good,1,1,High,Medium,Neutral,8,16,9,13,No
School D,Other,13,Suburban,3,Apart,None,Higher,Business,Service,Other,Other,,2,0,Yes,Yes,No,No,No,Yes,Yes,No,Very Bad,,2,None,High,Bad,0,17,17,14,No
School A,Female,16,Rural,8,Together,Higher,Secondary,Healthcare,Service,Home,Other,6,2,0,No,No,No,Yes,Yes,Yes,No,Yes,Excellent,1,3,None,Medium,Excellent,2,15,17,17,No
School D,Male,,Suburban,2,Apart,None,Secondary,Business,Technology,Reputation,Father,7,1,0,No,Yes,No,No,No,No,Yes,No,Very Bad,5,4,Medium,High,Excellent,10,14,,18,No
School C,Other,17,Suburban,4,Together,Secondary,Primary,Education,Education,Other,Father,22,4,0,Yes,No,No,No,Yes,Yes,Yes,No,Very Bad,,,Very High,Medium,Excellent,1,16,18,17,Yes
School A,Other,14,Urban,8,Together,Primary,None,Unemployed,Healthcare,Home,Other,11,3,1,No,No,Yes,No,Yes,No,No,Yes,Neutral,2,2,Medium,Medium,Very Bad,2,14,11,15,No
School B,Female,17,Rural,2,Together,Primary,None,Business,Technology,Course,Mother,13,1,0,No,No,Yes,No,No,No,No,Yes,Very Bad,5,3,None,None,Neutral,8,14,15,11,No
School A,Female,19,Rural,5,Together,Secondary,None,Education,Unemployed,Home,Father,9,7,0,No,No,Yes,Yes,Yes,No,No,Yes,Neutral,1,1,None,Very High,Good,2,13,12,14,No
School D,Other,19,Suburban,8,Together,None,Primary,Healthcare,Education,Reputation,Other,13,4,0,No,Yes,Yes,No,No,No,Yes,No,Very Bad,1,5,Very High,Medium,Good,1,15,17,17,Yes
School B,Male,14,Rural,6,Together,None,Primary,Healthcare,Unemployed,Course,Other,7,2,0,Yes,No,No,Yes,Yes,No,No,Yes,Very Bad,2,2,None,Very High,Very Bad,5,18,18,15,No
School A,Other,17,Urban,3,Together,Higher,Higher,Unemployed,Technology,Course,Father,2,1,0,No,No,No,Yes,No,No,Yes,Yes,Very Bad,2,2,High,Medium,Neutral,6,10,15,13,No
School A,Female,16,Urban,5,Apart,None,Primary,Unemployed,Business,Other,Father,2,2,0,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,1,1,Low,Very High,Good,5,15,17,16,No
School B,Female,14,Rural,8,Apart,Primary,Higher,Unemployed,Business,Course,Other,33,3,0,Yes,Yes,No,Yes,No,Yes,No,Yes,Good,2,1,High,High,Excellent,0,7,12,18,No
School A,Other,13,Suburban,7,Together,None,Secondary,Unemployed,Service,Home,Mother,6,4,0,Yes,No,No,Yes,Yes,Yes,No,No,Good,5,2,Low,High,Neutral,2,18,14,17,No
School B,Female,15,Rural,3,Together,None,Secondary,Business,Unemployed,Other,Father,10,2,0,Yes,Yes,No,Yes,No,No,Yes,No,Neutral,4,5,None,Medium,Excellent,7,15,13,15,No
School C,Other,18,Rural,2,Together,None,None,Business,Healthcare,Other,Father,8,2,1,No,No,No,Yes,No,No,No,Yes,Bad,1,3,Medium,High,Good,3,17,12,18,No
School C,Female,17,Urban,7,Apart,Primary,None,Business,Business,Home,Other,7,3,0,Yes,Yes,No,Yes,Yes,No,Yes,No,Bad,3,4,Medium,Medium,Bad,3,11,17,17,No
School B,Male,14,Urban,6,Apart,Primary,Higher,Service,Service,Home,Mother,54,3,0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Bad,4,1,Medium,Low,Good,2,,18,12,No
School C,Male,17,Rural,8,Together,None,None,Education,Service,Home,Other,,3,0,No,Yes,No,Yes,Yes,No,No,No,Excellent,1,1,None,Very High,Good,0,11,12,15,No
School D,Female,15,Suburban,7,Together,Primary,Higher,Service,Technology,Home,Other,,1,0,No,No,No,Yes,Yes,No,No,No,Bad,1,3,None,Medium,Good,2,14,9,,No
School A,Female,15,Rural,3,Apart,Higher,Primary,Healthcare,Technology,Other,Mother,13,3,1,No,No,No,No,No,Yes,Yes,Yes,Bad,2,5,High,None,Very Bad,4,11,16,13,Yes
School D,Other,15,Urban,2,Together,None,Higher,Healthcare,Healthcare,Course,Mother,23,2,0,Yes,No,No,Yes,No,No,Yes,Yes,Very Bad,2,5,Medium,High,Very Bad,0,14,14,16,No
School C,Female,20,Rural,7,Apart,Primary,Primary,Education,Healthcare,Other,Other,19,2,0,No,Yes,Yes,No,Yes,No,No,Yes,Neutral,5,3,High,None,Bad,2,16,18,9,No
School C,Female,17,Suburban,3,Together,None,Primary,Business,Education,Other,Father,1,5,1,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Bad,4,2,Low,Medium,Bad,5,15,18,8,No
School D,Male,,Suburban,5,Together,Primary,Secondary,Service,Technology,Other,Other,2,9,0,Yes,No,Yes,Yes,No,Yes,Yes,No,Bad,3,5,High,None,Very Bad,2,18,16,17,No
School C,Male,17,Suburban,2,Together,Secondary,Higher,Business,Service,Course,Other,152,0,1,No,Yes,Yes,No,No,No,No,No,Good,2,5,Very High,High,Good,12,,,14,Yes
School B,Male,15,Suburban,1,Together,Secondary,Secondary,Healthcare,Unemployed,Course,Other,60,,0,Yes,Yes,Yes,No,Yes,No,No,Yes,Neutral,2,,High,Low,Excellent,0,16,9,12,No
School B,Female,17,Suburban,8,Apart,Secondary,Secondary,Healthcare,Business,Course,Mother,70,5,0,Yes,No,No,No,Yes,No,No,No,Bad,3,3,High,Low,Neutral,1,16,6,7,No
